station_id,name,lat,lon,address,post_code,capacity,rental_methods,groups,nearby_distance
2,002 - Retiro I,-34.59242413,-58.37470989,AV. Dr. José María Ramos Mejía 1300,11111,40,"['KEY', 'TRANSITCARD', 'PHONE']",['RETIRO'],1000.0
3,003 - ADUANA,-34.61220714255728,-58.36912906378899,Av. Paseo Colón 380,C1063,28,"['KEY', 'TRANSITCARD', 'PHONE']",['MONSERRAT'],1000.0
4,004 - Plaza Roma,-34.6030082348981,-58.36885646243477,Av. Corrientes 100,11111,20,"['KEY', 'TRANSITCARD', 'PHONE']",['SAN NICOLAS'],1000.0
5,005 - Plaza Italia,-34.5805497,-58.4209542,Av. Sarmiento 2601,1111,42,"['KEY', 'TRANSITCARD', 'PHONE']",['PALERMO'],1000.0
6,006 - Parque Lezama,-34.628526,-58.369758,"Avenida Martin Garcia, 295",1111,20,"['KEY', 'TRANSITCARD', 'PHONE']",['SAN TELMO'],1000.0
7,007 - OBELISCO,-34.606498,-58.381098,CARLOS PELEGRINI 215,11111,24,"['KEY', 'TRANSITCARD', 'PHONE']",['SAN NICOLAS'],1000.0
8,008 - Congreso,-34.6094218,-58.3893364,"Cevallos, Virrey& Yrigoyen, Hipolito Av.",11111,23,"['KEY', 'TRANSITCARD', 'PHONE']",['SAN NICOLAS'],1000.0
9,009 - Parque Las Heras,-34.585443,-58.407741,"2300 Diaz, Cnel. Av. & French",11111,24,"['KEY', 'TRANSITCARD', 'PHONE']",['PALERMO'],1000.0
12,012 - Plaza Vicente Lopez,-34.5927096,-58.388807,Parana & Juncal,11111,16,"['KEY', 'TRANSITCARD', 'PHONE']",['RECOLETA'],1000.0
13,013 - ONCE,-34.61009,-58.406,Av. Pueyrredon & Av. Rivadavia,1111,30,"['KEY', 'TRANSITCARD', 'PHONE']",['BALVANERA'],1000.0
14,014 - Pacifico,-34.577424,-58.426387,"Santa Fe Av. & Bullrich, Int. Av.",11111,30,"['KEY', 'TRANSITCARD', 'PHONE']",['PALERMO'],1000.0
17,017 - Plaza Almagro,-34.6064101,-58.4187306,"441 Bulnes & Peron, Juan Domingo, Tte. General",11111,19,"['KEY', 'TRANSITCARD', 'PHONE']",['ALMAGRO'],1000.0
21,021 - Parque Patricios,-34.640111,-58.406432,Iguazu & Uspallata,1111,24,"['KEY', 'TRANSITCARD', 'PHONE']",['PARQUE PATRICIOS'],1000.0
22,022 - Arenales,-34.5938629,-58.3825498,Cerrito & Arenales,11111,20,"['KEY', 'TRANSITCARD', 'PHONE']",['RETIRO'],1000.0
23,023 - Suipacha,-34.600139,-58.379836,Suipacha & Viamonte,11111,12,"['KEY', 'TRANSITCARD', 'PHONE']",['SAN NICOLAS'],1000.0
24,024 - ALSINA,-34.610583,-58.3808943,Adolfo Alsina& Bernardo De Irigoyen,11111,18,"['KEY', 'TRANSITCARD', 'PHONE']",['MONSERRAT'],1609.34
25,025 - Plaza Guemes,-34.5894269,-58.4161178,"Salguero, Jeronimo & Mansilla, Lucio Norberto, General",11111,30,"['KEY', 'TRANSITCARD', 'PHONE']",['PALERMO'],1000.0
26,026 - JUANA MANSO I,-34.600752,-58.3638723,"Manso Juana & De La Barra, Emma",11111,30,"['KEY', 'TRANSITCARD', 'PHONE']",['PUERTO MADERO'],1609.34
27,027 - Montevideo,-34.599068,-58.3900887,Cordoba Av. & Montevideo,1111,20,"['KEY', 'TRANSITCARD', 'PHONE']",['SAN NICOLAS'],1000.0
29,029 - Parque Centenario,-34.6079414,-58.4335573,Av. Patricias Argentinas & Estivao,11111,29,"['KEY', 'TRANSITCARD', 'PHONE']",['CABALLITO'],1000.0
32,032 - Catedral,-34.60674458045258,-58.37365550287732,Bartolomé Mitre & San Martín,11111,18,"['KEY', 'TRANSITCARD', 'PHONE']",['SAN NICOLAS'],1000.0
33,033 - Facultad de Medicina,-34.5970909,-58.3989807,Pres. José Evaristo Uriburu 987,11111,19,"['KEY', 'TRANSITCARD', 'PHONE']",['RECOLETA'],1000.0
35,035 - INGENIERO BUTTY,-34.5964246,-58.371847,Ing. E. Butty 291,11111,30,"['KEY', 'TRANSITCARD', 'PHONE']",['RETIRO'],1000.0
36,036 - MAIPÚ,-34.6010599,-58.3745346,Tucumán 536,C1049,12,"['KEY', 'TRANSITCARD', 'PHONE']",['SAN NICOLAS'],1000.0
38,038 - Plaza Libertad,-34.5970497,-58.3828403,Cerrito 990 y Av. Marcelo T. De Alvear,11111,20,"['KEY', 'TRANSITCARD', 'PHONE']",['RETIRO'],1609.34
41,041 - PARQUE PATRICIOS II,-34.6371232,-58.4058883,Av Caseros 3015,1111,20,"['KEY', 'TRANSITCARD', 'PHONE']",['PARQUE PATRICIOS'],1000.0
43,334 - CENTRO DE EXPOSICIONES,-34.584018,-58.389921,2133 Figueroa Alcorta,1111,28,"['KEY', 'TRANSITCARD', 'PHONE']",['RECOLETA'],1000.0
44,044 - Ecoparque,-34.5755148,-58.4138829,"Av. Del Libertador, 3260",111,20,"['KEY', 'TRANSITCARD', 'PHONE']",['PALERMO'],1000.0
45,045 - Uruguay,-34.6018635,-58.3866934,561 Uruguay & Av. Tucuman,111,20,"['KEY', 'TRANSITCARD', 'PHONE']",['SAN NICOLAS'],1000.0
46,046 - Chile,-34.6163729,-58.37436969999999,Perú 718,C1068,18,"['KEY', 'TRANSITCARD', 'PHONE']",['SAN TELMO'],1000.0
48,034 - Colonia Express,-34.6236397,-58.3632448,Elvira Rawson de Dellepiane 150,C1107,16,"['KEY', 'TRANSITCARD', 'PHONE']",['PUERTO MADERO'],1000.0
49,049 - 33 Orientales,-34.6290527,-58.422611,Constitucion & Treinta Y Tres Orientales,11111,16,"['KEY', 'TRANSITCARD', 'PHONE']",['BOEDO'],1000.0
